subject,id,time
국어I,1,3
국어II,1,3
문학,1,3
논리적 글쓰기,1,3
독서,1,2
발표와 토론,1,2
창의적 글쓰기,1,2
문학감상과 인문학적 상상력,1,2
디지털서사창작,1,2
한국사,2,3
세계지리,2,3
정치경제,2,3
환경지리세미나,2,2
국토 지리,2,3
세계사,2,3
사회문화,2,2
도시환경과 도시계획,2,3
사회문제와 인문학적 상상력,2,3
영어I,3,3
영어II,3,3
영어독해와 작문,3,3
고급영어회화,3,3
시사영어,3,2
고급영어독해와 작문,3,2
중국어I,3,2
중국어II,3,2
일본어I,3,2
일본어II,3,2
아티언스,4,2
음악,4,1
미술,4,1
창의적 디자인,4,2
체육I,4,1
체육II,4,1
체육III,4,1
체육IV,4,1
음악실기,4,1
합주,4,2
비주얼커뮤니케이션,4,2
제품디자인,4,2
인성체육,4,1
생활체육,4,1
음악과 테크놀로지,4,2
건축디자인,4,2
수학I,5,4
수학II,5,4
미적분학입문,5,4
확률과 통계,5,3
정수론,5,3
미적분학I,5,3
미적분학II,5,3
선형대수학,5,3
미분방정식,5,3
수학세미나I,5,3
수학세미나II,5,3
융합@수학,5,3
물리학 및 실험I,6,3
물리학 및 실험II,6,3
고급물리학I,6,3
고급물리학II,6,3
일반물리학I,6,3
일반물리학II,6,3
일반물리학실험I,6,1
일반물리학실험II,6,1
물리첨단기기활용법,6,2
물리학세미나I,6,3
물리학세미나II,6,3
화학 및 실험I,7,3
화학 및 실험II,7,3
고급화학I,7,3
고급화학II,7,3
일반화학I,7,3
일반화학II,7,3
일반화학실험I,7,1
일반화학실험II,7,1
화학첨단기기활용법I,7,2
화학첨단기기활용법II,7,2
무기화학,7,3
유기화학,7,3
화학세미나I,7,3
화학세미나II,7,3
아름다운 바이오 화학,7,2
과학문명사,7,3
생명과학 및 실험I,8,3
생명과학 및 실험II,8,3
고급생명과학I,8,3
고급생명과학II,8,3
일반생명과학,8,3
일반생명과학실험I,8,1
일반생명과학실험II,8,1
생명과학첨단기기활용법I,8,2
생명과학첨단기기활용법II,8,2
생물다양성과 환경I,8,2
생물다양성과 환경II,8,2
생명과학세미나I,8,3
생명과학세미나II,8,3
생명정보학,8,2
뇌와 행동,8,2
지구과학 및 실험I,9,3
지구과학 및 실험II,9,3
천체 관측의 기초,9,3
기상분석과 일기예보기초,9,3
해양환경의 이해,9,3
지구와 우주의 영상탐사,9,3
암석과 광물의 이해,9,3
자연재해와 인간의 삶,9,3
정보과학개론,10,3
프로그래밍I,10,3
프로그래밍II,10,3
알고리즘,10,3
정보과학프로젝트I,10,3
정보과학프로젝트II,10,3
고급알고리즘,10,2
객체지향프로그래밍,10,2
정보과학세미나,10,2
공학개론,11,3
생활 속의 공학,11,2
창의적공학설계,11,2
ESD와적정기술,11,2
인터랙티브디자인과테크놀로지,11,2
프로젝트기반연구I,12,2
프로젝트기반연구II,12,2
프로젝트기반연구III,12,2
프로젝트기반연구IV,12,2
